,yyyymm,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,d/p,d/y,e/p,d/e,ret (S&P 500 annualized log return including dividends)
84,193312,0.829026046,0.0029,0.045,0.0775,0.0336,0.006196483,0.000241667,0,-0.0113,0.0257,0.00559057,-3.133515976,-3.111493064,-3.133515976,0,0.02443
85,193401,0.762917366,0.0072,0.0435,0.0701,0.0321,0.003559069,0.0006,0,0.0257,0.0257,0.00663891,-3.232395634,-3.131699445,-3.224711981,-0.007683654,0.113644
86,193402,0.790643727,0.0062,0.042,0.0627,0.0317,0.005596015,0.000516667,0.007575758,0.0081,0.0146,0.005567285,-3.192959915,-3.230355973,-3.178128183,-0.014831733,-0.037272
87,193403,0.802512212,0.0024,0.0413,0.0626,0.0307,0.009607075,0.0002,0,0.0197,0.0187,0.006372525,-3.190220569,-3.191150369,-3.16787327,-0.022347299,0.002464
88,193404,0.801074734,0.0015,0.0407,0.0601,0.03,0.00782899,0.000125,0,0.0126,0.0104,0.001899187,-3.161066996,-3.188414292,-3.131287017,-0.029779978,-0.026944
89,193405,0.856382979,0.0016,0.0401,0.0605,0.0292,0.007652643,0.000133333,0,0.0131,0.009,0.0073632,-3.074284591,-3.159038826,-3.037595393,-0.036689198,-0.082255
90,193406,0.84073107,0.0015,0.0393,0.0606,0.0289,0.005982388,0.000125,0.007518797,0.0067,0.0158,0.006894645,-3.09308327,-3.07248522,-3.049120147,-0.043963123,0.021102
91,193407,0.914253265,0.0015,0.0389,0.0613,0.0288,0.002909873,0.000125,0,0.004,0.0047,0.011531331,-2.968906387,-3.091287132,-2.917747691,-0.051158696,-0.121723
92,193408,0.866896403,0.0019,0.0393,0.0649,0.0299,0.019959043,0.000158333,0,-0.0118,0.0047,0.006501447,-3.01962193,-2.966889579,-2.961779721,-0.057842209,0.051629
93,193409,0.870364364,0.0021,0.0396,0.0657,0.031,0.019440678,0.000175,0.014925373,-0.0146,-0.0061,0.004830819,-3.012353155,-3.017832621,-2.947465533,-0.064887622,-0.003127
94,193410,0.862253642,0.0027,0.039,0.064,0.03,0.02389908,0.000225,-0.007352941,0.0182,0.0102,0.004358161,-2.978180068,-3.010567041,-2.906321205,-0.071858862,-0.033732
95,193411,0.782008937,0.0025,0.0386,0.0637,0.0299,0.020712417,0.000208333,0,0.0037,0.0129,0.002025305,-3.055780542,-2.976174496,-2.977451748,-0.078328794,0.080682
96,193412,0.773740869,0.0023,0.0381,0.0623,0.0293,0.020814021,0.000191667,-0.007407407,0.0112,0.0101,0.002608946,-3.049799495,-3.054001182,-2.964641686,-0.085157808,-0.004415
97,193501,0.791621595,0.002,0.0377,0.0598,0.0281,0.020998398,0.000166667,0.014925373,0.0182,0.0211,0.002213604,-3.00678211,-3.049799495,-2.770393332,-0.236388778,-0.043755
98,193502,0.786286384,0.0019,0.0369,0.0595,0.0275,0.014709959,0.000158333,0.007352941,0.0092,0.0141,0.003279982,-2.966417886,-3.00678211,-2.598693106,-0.36772478,-0.04266
99,193503,0.800754118,0.0015,0.0367,0.062,0.0274,0.012047461,0.000125,0,0.0041,0.0043,0.003972862,-2.935038205,-2.966417886,-2.451241254,-0.483796951,-0.035324
100,193504,0.737322979,0.0015,0.0366,0.0613,0.0269,0.019095458,0.000125,0.00729927,0.0079,0.0112,0.003162168,-3.033803475,-2.942472437,-2.506693563,-0.527109912,0.095347
