caldt,vwretd
1966/07/27,0.004955
1966/07/28,-0.003750
1966/07/29,-0.002038
1966/08/01,-0.015338
1966/08/02,0.000889
1966/08/03,0.009972
1966/08/04,0.009679
1966/08/05,0.001227
1966/08/08,-0.001707
1966/08/09,-0.002860
1966/08/10,-0.004282
1966/08/11,-0.000962
1966/08/12,0.001830
1966/08/15,-0.005190
1966/08/16,-0.012953
1966/08/17,-0.005375
1966/08/18,-0.012751
1966/08/19,-0.006693
1966/08/22,-0.017329
1966/08/23,-0.001464
1966/08/24,0.012647
1966/08/25,-0.012418
1966/08/26,-0.021184
1966/08/29,-0.023377
1966/08/30,0.017871
1966/08/31,0.016726
1966/09/01,0.007964
1966/09/02,-0.003585
1966/09/06,-0.005613
1966/09/07,-0.007997
1966/09/08,-0.003961
1966/09/09,0.002857
1966/09/12,0.021559
1966/09/13,0.005571
1966/09/14,0.010127
1966/09/15,0.011955
1966/09/16,-0.000734
1966/09/19,-0.005071
1966/09/20,-0.006904
1966/09/21,-0.016985
1966/09/22,0.002800
1966/09/23,-0.003330
1966/09/26,0.002617
1966/09/27,0.003108
1966/09/28,-0.012819
1966/09/29,-0.010481
1966/09/30,0.003394
1966/10/03,-0.021792
1966/10/04,0.002793
1966/10/05,-0.005443
1966/10/06,-0.008532
1966/10/07,-0.011675
1966/10/10,0.018309
1966/10/11,0.005027
1966/10/12,0.028788
1966/10/13,-0.001810
1966/10/14,-0.003797
1966/10/17,0.011402
1966/10/18,0.015887
1966/10/19,-0.008024
1966/10/20,-0.002716
1966/10/21,0.004324
1966/10/24,0.003029
1966/10/25,0.006319
1966/10/26,0.008564
1966/10/27,0.008273
1966/10/28,0.000034
1966/10/31,-0.000330
1966/11/01,0.008516
1966/11/02,0.001218
1966/11/03,-0.003655
1966/11/04,0.004355
1966/11/07,-0.000649
1966/11/09,0.008258
1966/11/10,0.006439
1966/11/11,0.000558
1966/11/14,-0.005678
1966/11/15,0.004223
1966/11/16,0.008603
1966/11/17,-0.006900
1966/11/18,-0.006453
1966/11/21,-0.014235
1966/11/22,-0.005157
1966/11/23,0.007114
1966/11/25,0.008134
1966/11/28,-0.000625
1966/11/29,-0.003195
1966/11/30,0.000660
1966/12/01,-0.004667
1966/12/02,0.000585
1966/12/05,0.001412
1966/12/06,0.007702
1966/12/07,0.011208
1966/12/08,0.004151
1966/12/09,0.001451
1966/12/12,0.010304
1966/12/13,-0.003226
1966/12/14,-0.000952
1966/12/15,-0.011827
1966/12/16,-0.000796
1966/12/19,-0.003677
1966/12/20,-0.003619
1966/12/21,0.005379
1966/12/22,0.003888
1966/12/23,-0.002683
1966/12/27,-0.005665
1966/12/28,-0.004771
1966/12/29,-0.003265
1966/12/30,-0.000285
1967/01/03,0.000531
1967/01/04,0.002059
1967/01/05,0.013034
1967/01/06,0.007230
1967/01/09,0.007738
1967/01/10,0.000039
1967/01/11,0.008129
1967/01/12,0.005264
1967/01/13,0.007472
1967/01/16,-0.002611
1967/01/17,0.011321
1967/01/18,0.006467
1967/01/19,0.000512
1967/01/20,0.002891
1967/01/23,0.003597
1967/01/24,0.001554
1967/01/25,-0.007464
1967/01/26,-0.000506
1967/01/27,0.004157
1967/01/30,0.005508
1967/01/31,-0.000329
1967/02/01,-0.001782
1967/02/02,0.003529
1967/02/03,0.007351
1967/02/06,-0.001338
1967/02/07,-0.002095
1967/02/08,0.009012
1967/02/09,-0.003784
1967/02/10,0.002095
1967/02/13,0.001169
1967/02/14,0.007238
1967/02/15,0.001183
1967/02/16,-0.004544
1967/02/17,0.000381
1967/02/20,-0.005337
1967/02/21,-0.000560
1967/02/23,0.001345
1967/02/24,0.000491
1967/02/27,-0.010742
1967/02/28,0.003992
1967/03/01,0.010751
1967/03/02,0.005604
1967/03/03,0.001421
1967/03/06,-0.001865
1967/03/07,0.000919
1967/03/08,0.001267
1967/03/09,0.002824
1967/03/10,0.004222
1967/03/13,-0.005194
1967/03/14,-0.000929
1967/03/15,0.009558
1967/03/16,0.010402
1967/03/17,0.001843
1967/03/20,-0.000463
1967/03/21,-0.002266
1967/03/22,0.002902
1967/03/23,0.007644
1967/03/27,-0.000849
1967/03/28,0.000550
1967/03/29,-0.001960
1967/03/30,-0.000247
1967/03/31,-0.005536
1967/04/03,-0.010661
1967/04/04,-0.000264
1967/04/05,0.006613
1967/04/06,0.001807
1967/04/07,-0.006503
1967/04/10,-0.012428
1967/04/11,0.007245
1967/04/12,-0.001235
1967/04/13,0.007626
1967/04/14,0.011005
1967/04/17,0.007129
1967/04/18,0.008808
1967/04/19,0.001003
1967/04/20,0.002056
1967/04/21,0.002140
1967/04/24,0.003538
1967/04/25,0.005600
1967/04/26,-0.001105
1967/04/27,0.008815
1967/04/28,0.001800
1967/05/01,-0.001658
1967/05/02,-0.001095
1967/05/03,0.002797
1967/05/04,0.003946
1967/05/05,0.001570
1967/05/08,0.002599
1967/05/09,-0.010281
1967/05/10,-0.002361
1967/05/11,0.004286
1967/05/12,-0.002487
1967/05/15,-0.008055
1967/05/16,0.004885
1967/05/17,-0.003574
1967/05/18,-0.002349
1967/05/19,-0.004763
1967/05/22,-0.004110
1967/05/23,-0.004541
1967/05/24,-0.011577
1967/05/25,0.011256
1967/05/26,-0.001327
1967/05/29,-0.005072
1967/05/31,-0.015245
1967/06/01,0.012752
1967/06/02,-0.004791
1967/06/05,-0.014884
1967/06/06,0.019956
1967/06/07,0.008165
1967/06/08,0.005551
1967/06/09,0.001980
1967/06/12,0.005303
1967/06/13,0.006437
1967/06/14,-0.002322
1967/06/15,0.000851
1967/06/16,0.000714
1967/06/19,-0.000210
1967/06/20,-0.000265
1967/06/21,-0.003061
1967/06/22,-0.002450
1967/06/23,0.000515
1967/06/26,-0.003822
1967/06/27,-0.003725
1967/06/28,0.000146
1967/06/29,-0.004997
1967/06/30,-0.002209
1967/07/03,0.002980
1967/07/05,0.005234
1967/07/06,-0.000512
1967/07/07,0.004006
1967/07/10,0.003806
1967/07/11,0.004776
1967/07/12,-0.000771
1967/07/13,0.000172
1967/07/14,0.003645
1967/07/17,0.000137
1967/07/18,0.008270
1967/07/19,0.001673
1967/07/20,0.002164
1967/07/21,0.001931
1967/07/24,-0.003325
1967/07/25,-0.000274
1967/07/26,0.004034
1967/07/27,0.003201
1967/07/28,0.001597
1967/07/31,0.002812
1967/08/01,0.007254
1967/08/02,0.004651
1967/08/03,-0.001214
1967/08/04,0.001653
1967/08/07,-0.001778
1967/08/08,0.001318
1967/08/09,0.001029
1967/08/10,-0.002412
1967/08/11,-0.003997
1967/08/14,-0.004331
1967/08/15,0.001301
1967/08/16,-0.002303
1967/08/17,0.000871
1967/08/18,0.001602
1967/08/21,-0.005512
1967/08/22,-0.005520
1967/08/23,-0.001123
1967/08/24,-0.005610
1967/08/25,-0.004021
1967/08/28,0.000384
1967/08/29,0.002609
1967/08/30,0.002182
1967/08/31,0.006223
1967/09/01,0.000428
1967/09/05,0.005908
1967/09/06,0.002028
1967/09/07,-0.000582
1967/09/08,-0.000010
1967/09/11,0.001823
1967/09/12,0.005131
1967/09/13,0.010641
1967/09/14,0.002226
1967/09/15,0.000680
1967/09/18,0.002697
1967/09/19,-0.003575
1967/09/20,-0.000503
1967/09/21,0.006410
1967/09/22,0.002744
1967/09/25,0.006082
1967/09/26,-0.008435
1967/09/27,0.000340
1967/09/28,0.000127
1967/09/29,-0.000754
1967/10/02,-0.004089
1967/10/03,0.003371
1967/10/04,-0.001922
1967/10/05,0.002297
1967/10/06,0.006116
1967/10/09,0.002784
1967/10/10,-0.006744
1967/10/11,-0.004835
1967/10/12,-0.006311
1967/10/13,0.002698
1967/10/16,-0.007845
1967/10/17,-0.002409
1967/10/18,0.002408
1967/10/19,0.001715
1967/10/20,-0.000391
1967/10/23,-0.004377
1967/10/24,-0.005413
1967/10/25,0.001220
1967/10/26,0.004359
1967/10/27,0.000363
1967/10/30,-0.001847
1967/10/31,-0.008799
1967/11/01,-0.012372
1967/11/02,-0.003905
1967/11/03,-0.005237
1967/11/06,-0.002743
1967/11/08,-0.003704
1967/11/09,0.005319
1967/11/10,0.006503
1967/11/13,-0.001653
1967/11/14,-0.005896
1967/11/15,0.004270
1967/11/16,0.009293
1967/11/17,0.002434
1967/11/20,-0.012469
1967/11/21,0.015821
1967/11/22,0.005714
1967/11/24,0.002776
1967/11/27,0.003033
1967/11/28,0.004777
1967/11/29,-0.000244
1967/11/30,-0.004746
1967/12/01,0.005185
1967/12/04,0.006144
1967/12/05,0.001792
1967/12/06,0.004430
1967/12/07,-0.001003
1967/12/08,-0.001152
1967/12/11,-0.003096
1967/12/12,-0.001120
1967/12/13,0.003451
