caldt,vwretd
2004/12/31,0.033734
2005/01/31,-0.023824
2005/02/28,0.021152
2005/03/31,-0.017240
2005/04/29,-0.018926
2005/05/31,0.031994
2005/06/30,0.001717
2005/07/29,0.037364
2005/08/31,-0.009159
2005/09/30,0.008067
2005/10/31,-0.015672
2005/11/30,0.038289
2005/12/30,-0.000060
2006/01/31,0.026442
2006/02/28,0.002425
2006/03/31,0.012909
2006/04/28,0.012064
2006/05/31,-0.028319
2006/06/30,0.001587
2006/07/31,0.005571
2006/08/31,0.024150
2006/09/29,0.026487
2006/10/31,0.032527
2006/11/30,0.018385
2006/12/29,0.013768
2007/01/31,0.015313
2007/02/28,-0.019288
2007/03/30,0.010894
2007/04/30,0.043991
2007/05/31,0.034459
2007/06/29,-0.016620
2007/07/31,-0.031197
2007/08/31,0.015094
2007/09/28,0.037468
2007/10/31,0.017360
2007/11/30,-0.041382
2007/12/31,-0.006116
2008/01/31,-0.061166
2008/02/29,-0.031419
2008/03/31,-0.003400
2008/04/30,0.048629
2008/05/30,0.012986
2008/06/30,-0.082842
2008/07/31,-0.007306
2008/08/29,0.014955
2008/09/30,-0.085467
2008/10/31,-0.166980
2008/11/28,-0.073512
2008/12/31,0.011995
2009/01/30,-0.082615
2009/02/27,-0.103588
2009/03/31,0.087634
2009/04/30,0.094230
2009/05/29,0.054640
2009/06/30,0.002476
2009/07/31,0.074482
2009/08/31,0.034751
2009/09/30,0.036534
2009/10/30,-0.018259
2009/11/30,0.060257
2009/12/31,0.018983
2010/01/29,-0.035751
2010/02/26,0.030424
2010/03/31,0.061014
2010/04/30,0.015977
2010/05/28,-0.080111
2010/06/30,-0.053525
2010/07/30,0.070451
2010/08/31,-0.045434
2010/09/30,0.090383
2010/10/29,0.038726
2010/11/30,-0.000051
2010/12/31,0.067054
2011/01/31,0.023349
2011/02/28,0.032508
2011/03/31,0.000625
2011/04/29,0.029441
2011/05/31,-0.011313
2011/06/30,-0.016545
2011/07/29,-0.019828
2011/08/31,-0.054323
2011/09/30,-0.070238
2011/10/31,0.109014
2011/11/30,-0.002727
2011/12/30,0.009427
2012/01/31,0.045205
2012/02/29,0.043341
2012/03/30,0.032866
2012/04/30,-0.006034
2012/05/31,-0.059790
2012/06/29,0.041465
2012/07/31,0.014363
2012/08/31,0.022744
2012/09/28,0.025120
2012/10/31,-0.017837
2012/11/30,0.005326
2012/12/31,0.008508
2013/01/31,0.052361
2013/02/28,0.013013
2013/03/28,0.037584
2013/04/30,0.019621
2013/05/31,0.023120
2013/06/28,-0.013601
2013/07/31,0.050672
2013/08/30,-0.029207
2013/09/30,0.031660
2013/10/31,0.046268
2013/11/29,0.030817
2013/12/31,0.025950
2014/01/31,-0.034666
2014/02/28,0.045757
2014/03/31,0.008056
2014/04/30,0.006555
2014/05/30,0.023309
2014/06/30,0.020635
2014/07/31,-0.013974
2014/08/29,0.039777
2014/09/30,-0.013928
2014/10/31,0.023972
2014/11/28,0.027631
2014/12/31,-0.002473
2015/01/30,-0.029430
2015/02/27,0.057008
2015/03/31,-0.014993
2015/04/30,0.009101
2015/05/29,0.012522
2015/06/30,-0.019343
2015/07/31,0.021297
2015/08/31,-0.060086
2015/09/30,-0.024547
2015/10/30,0.083449
2015/11/30,0.003373
2015/12/31,-0.015247
2016/01/29,-0.049100
2016/02/29,-0.001742
2016/03/31,0.067340
2016/04/29,0.003747
2016/05/31,0.018487
2016/06/30,0.002675
2016/07/29,0.036571
2016/08/31,0.001247
2016/09/30,0.000446
2016/10/31,-0.017958
2016/11/30,0.035790
2016/12/30,0.019200
2017/01/31,0.019384
2017/02/28,0.039459
2017/03/31,0.001664
